gene_id	chr	start	end	strand	gene_name
ENSG00000000938	chr1	27938575	27961788	-1	FGR
ENSG00000001167	chr6	41040684	41067715	1	NFYA
ENSG00000010671	chrX	100604435	100641183	-1	BTK
ENSG00000100811	chr14	100704635	100749129	1	YY1
ENSG00000136997	chr8	128747680	128753674	1	MYC
ENSG00000140105	chr14	100800125	100843142	-1	WARS
ENSG00000165025	chr9	93564069	93660831	1	SYK
ENSG00000177885	chr17	73314157	73401790	-1	GRB2
ENSG00000196405	chr14	100437786	100610573	1	EVL
ENSG00000254087	chr8	56792372	56923939	1	LYN
